File Name,File Format,Preservation Normalization Attempted,Preservation Normalization Failed,Preservation Conformance Check,Already in Preservation Format,Access Normalization Attempted,Access Normalization Failed,Already in Access Format,Access Conformance Check
RG456-05/RG456-05-01/RG456-05-01-012.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/8cf8fc64-dc1c-4de8-a844-60a612f47040/",No,Passed "https://archtorontomu.scholarsportal.info/task/fea8338f-fa91-40a0-a62e-7930bbca3efe/",No,Yes "https://archtorontomu.scholarsportal.info/task/dc7ee99d-fded-41ae-a564-42945fbe5be8/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/0efe1f2d-2455-482e-9f63-e3683e789cb2/"
RG456-05/RG456-05-06/RG456-05-06-24-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/f5272d40-b2b6-4199-8f4d-e206fba6fcf3/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/1da76a2f-2b80-4b9b-b6e3-df5463be66d2/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-16-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/d089f0b2-7e8b-46ec-95aa-c5a0162c5773/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/a41fd460-c459-43ab-a49e-05e33a71de96/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-28-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/1959dfe4-d31a-444f-b495-3b4955e7e7cc/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/35433e10-5f20-4e61-b6b8-4640127ae3cb/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-10-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/db2d5101-d68a-4157-a398-2e5f3cb837d3/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/bfbfb053-1913-4d30-8333-8601169eb750/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-22-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/ef74c285-59a9-486e-af5c-8dde34c69887/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/f0e97ea5-98ba-4615-8c90-f1f3064a0da0/",No,No,N/A
RG456-05/RG456-05-07/RG456-05-07-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/8bb1d8ce-a4c5-4b91-95e4-72e759a0e4af/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/ae1c6d1a-cc4c-4366-bc97-538dac81110e/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-01-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/395978b2-1ed4-4945-80cb-04d239aa2c24/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/28bc47ff-63e7-49ae-b48d-1570b21e3d47/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-31-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/df40d731-d6b9-47b4-ae0d-4a776b3a87a7/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/609a998a-a6a8-4a90-a628-82101318c82f/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-24-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/4c9e1a15-7d53-4b56-bf1a-628b7a65740e/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/64d7e143-5ed3-461b-9935-1f5eeae80406/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-29-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/ac729ff2-a0ff-4621-b606-d625e9934c2e/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/8311e685-e462-482f-a922-fd18511894cf/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-29-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/25ee393c-f1f2-4b74-ba4e-f40bc01e4d25/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/7622eb41-c772-444b-8308-2b8472913113/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-12-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/2844dd65-38e0-44a4-b511-6f3bd698d040/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/727c6325-9e82-4e4e-8939-b01602409e98/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-21-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/82d2aafb-a90f-42c4-ada1-1333cc15b625/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/a8cb59bc-8ff6-4ce8-89ce-55a9ad87c47e/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-15-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/e622e991-ff46-4168-8c06-42bb40f7f794/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/d8bb7567-4742-4845-b30f-f80a121596ed/",No,No,N/A
RG456-05/RG456-05-01/RG456-05-01-023.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/7b0903dc-22b7-482f-b508-32cd989bb5a9/",No,Passed "https://archtorontomu.scholarsportal.info/task/6e98a6fa-a8d0-40dd-b1ea-915d99e9e8bb/",No,Yes "https://archtorontomu.scholarsportal.info/task/ebbc7fd2-1f54-4bc5-8f4f-31c6f872132a/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/98172fb8-63f5-4aeb-a2d0-31c805687908/"
